measure,location,sex,age,cause,metric,year,val,upper,lower
DALYs (Disability-Adjusted Life Years),Kuwait,Both,Age-standardized,Asthma,Rate,2019,193.60053186283767,279.04055949480045,128.7581025156632
DALYs (Disability-Adjusted Life Years),Sudan,Both,Age-standardized,Asthma,Rate,2019,464.3246039939496,638.6023994494034,335.028785010706
DALYs (Disability-Adjusted Life Years),Central African Republic,Both,Age-standardized,Asthma,Rate,1990,1277.1955098869494,1818.0809371189623,883.0623930827966
DALYs (Disability-Adjusted Life Years),Liberia,Both,Age-standardized,Asthma,Rate,2019,321.78010961165415,432.4503175682996,236.4791423005167
DALYs (Disability-Adjusted Life Years),Libya,Both,Age-standardized,Asthma,Rate,1990,464.10860398689516,589.4558425683878,353.2683302226447
DALYs (Disability-Adjusted Life Years),Portugal,Both,Age-standardized,Asthma,Rate,2019,364.3455075108627,545.4052170624226,236.94336183833738
DALYs (Disability-Adjusted Life Years),Singapore,Both,Age-standardized,Asthma,Rate,2019,159.04549436262712,235.47234496377325,104.46289011094834
DALYs (Disability-Adjusted Life Years),Switzerland,Both,Age-standardized,Asthma,Rate,1990,384.25388209797705,544.5957338592692,267.677939952742
DALYs (Disability-Adjusted Life Years),Saint Vincent and the Grenadines,Both,Age-standardized,Asthma,Rate,1990,366.4913478578729,485.9725762362801,279.8689511415579
DALYs (Disability-Adjusted Life Years),Djibouti,Both,Age-standardized,Asthma,Rate,2019,379.96496126649845,497.38871819058363,264.59669273425766
DALYs (Disability-Adjusted Life Years),Benin,Both,Age-standardized,Asthma,Rate,2019,457.35945003464286,589.5867635118046,352.4524386883621
DALYs (Disability-Adjusted Life Years),Guyana,Both,Age-standardized,Asthma,Rate,2019,389.56555812801315,517.4780882180164,289.54311239481774
DALYs (Disability-Adjusted Life Years),American Samoa,Both,Age-standardized,Asthma,Rate,1990,554.1507314908857,668.7407191041827,461.4675870924936
DALYs (Disability-Adjusted Life Years),Mauritania,Both,Age-standardized,Asthma,Rate,1990,805.4796499249851,987.2477834666113,607.4062956289657
DALYs (Disability-Adjusted Life Years),United Kingdom,Both,Age-standardized,Asthma,Rate,1990,623.1933528991025,880.4819490949001,433.4445634522408
DALYs (Disability-Adjusted Life Years),Taiwan (Province of China),Both,Age-standardized,Asthma,Rate,2019,168.76014016304129,238.01884484798617,117.4969008976065
DALYs (Disability-Adjusted Life Years),Germany,Both,Age-standardized,Asthma,Rate,2019,177.20417238991402,258.5916596959826,117.38205433112533
